ags,year,age_band,sex,count
12062,2020,60 bis unter 65 Jahre,f,4766
12062,2020,25 bis unter 30 Jahre,f,1242
12062,2020,25 bis unter 30 Jahre,m,1419
12062,2020,75 bis unter 80 Jahre,m,2486
12062,2020,75 bis unter 80 Jahre,f,3147
12062,2020,45 bis unter 50 Jahre,f,2767
12062,2020,45 bis unter 50 Jahre,m,3157
12062,2020,unter 5 Jahre,m,1997
12062,2020,unter 5 Jahre,f,1814
12062,2020,95 Jahre und mehr,f,197
12062,2020,95 Jahre und mehr,m,34
12062,2020,85 bis unter 90 Jahre,f,1819
12062,2020,85 bis unter 90 Jahre,m,940
12062,2020,50 bis unter 55 Jahre,f,3926
12062,2020,50 bis unter 55 Jahre,m,4129
12062,2020,15 bis unter 20 Jahre,m,2047
12062,2020,15 bis unter 20 Jahre,f,1846
12062,2020,30 bis unter 35 Jahre,f,2541
12062,2020,30 bis unter 35 Jahre,m,2891
12062,2020,20 bis unter 25 Jahre,m,1628
12062,2020,20 bis unter 25 Jahre,f,1264
12062,2020,70 bis unter 75 Jahre,m,2482
12062,2020,70 bis unter 75 Jahre,f,2895
12062,2020,90 bis unter 95 Jahre,m,250
12062,2020,90 bis unter 95 Jahre,f,758
12062,2020,35 bis unter 40 Jahre,f,2731
12062,2020,35 bis unter 40 Jahre,m,3191
12062,2020,65 bis unter 70 Jahre,m,4225
12062,2020,65 bis unter 70 Jahre,f,4362
12062,2020,10 bis unter 15 Jahre,m,2074
12062,2020,10 bis unter 15 Jahre,f,2070
12062,2020,55 bis unter 60 Jahre,m,4970
12062,2020,55 bis unter 60 Jahre,f,4869
12063,2020,15 bis unter 20 Jahre,f,3644
12063,2020,15 bis unter 20 Jahre,m,3903
12063,2020,35 bis unter 40 Jahre,f,5362
12063,2020,35 bis unter 40 Jahre,m,5160
12063,2020,90 bis unter 95 Jahre,m,296
12063,2020,90 bis unter 95 Jahre,f,826
12063,2020,55 bis unter 60 Jahre,f,7862
