ags,year,marriages
01058,2021,1291
01058,2022,1553
01058,2023,1354
01058,2024,1286
01058,2025,1268
03159,2018,1629
03159,2019,1363
03159,2020,1247
03159,2021,1263
03159,2022,1424
03159,2023,1290
03159,2024,1197
03159,2025,1249
05911,2018,1553
05911,2019,1515
05911,2020,1513
05911,2021,1428
05911,2022,1674
05911,2023,1610
05911,2024,1592
05911,2025,1579
05515,2018,1714
05515,2019,1574
05515,2020,1348
05515,2021,1294
05515,2022,1298
05515,2023,1313
05515,2024,1280
05515,2025,1264
09672,2018,571
09672,2019,589
09672,2020,565
09672,2021,478
09672,2022,535
09672,2023,495
09672,2024,434
09672,2025,477
03358,2018,749
03358,2019,758
03358,2020,692
03358,2021,683
03358,2022,697
03358,2023,671
03358,2024,632
03358,2025,679
01051,2018,808
01051,2019,801
01051,2020,645
01051,2021,607
01051,2022,791
01051,2023,681
01051,2024,683
01051,2025,662
05711,2018,1487
05711,2019,1419
05711,2020,1315
05711,2021,1232
05711,2022,1250
05711,2023,1299
05711,2024,1296
05711,2025,1283
07312,2018,404
07312,2019,325
07312,2020,297
07312,2021,272
07312,2022,317
07312,2023,293
07312,2024,289
07312,2025,305
09372,2018,694
09372,2019,701
09372,2020,631
09372,2021,605
09372,2022,660
09372,2023,589
09372,2024,566
09372,2025,528
08416,2018,1256
08416,2019,1189
08416,2020,1024
08416,2021,1049
08416,2022,1114
08416,2023,1058
08416,2024,998
08416,2025,1073
09675,2018,595
09675,2019,541
09675,2020,531
09675,2021,547
09675,2022,608
09675,2023,488
09675,2024,559
09675,2025,527
03402,2018,263
03402,2019,229
03402,2020,225
03402,2021,198
03402,2022,202
03402,2023,218
03402,2024,220
03402,2025,205
09676,2018,790
09676,2019,683
09676,2020,616
09676,2021,612
09676,2022,630
09676,2023,544
09676,2024,606
09676,2025,521
08215,2018,2185
08215,2019,2035
08215,2020,1960
08215,2021,1827
08215,2022,2044
08215,2023,1905
08215,2024,1833
08215,2025,1787
09178,2018,951
09178,2019,855
09178,2020,763
09178,2021,743
09178,2022,812
09178,2023,732
09178,2024,696
09178,2025,793
07311,2018,228
07311,2019,196
07311,2020,164
07311,2021,164
07311,2022,188
07311,2023,161
07311,2024,139
07311,2025,144
06634,2018,940
06634,2019,841
06634,2020,731
06634,2021,727
06634,2022,855
06634,2023,721
06634,2024,692
06634,2025,784
05378,2018,1903
05378,2019,1725
05378,2020,1450
05378,2021,1526
05378,2022,1646
05378,2023,1533
05378,2024,1441
05378,2025,1408
08336,2018,1231
08336,2019,1087
08336,2020,1029
08336,2021,994
08336,2022,1072
08336,2023,946
08336,2024,888
08336,2025,965
08335,2018,1834
08335,2019,1605
08335,2020,1474
08335,2021,1362
08335,2022,1542
08335,2023,1321
08335,2024,1344
08335,2025,1311
03460,2018,728
03460,2019,735
03460,2020,612
03460,2021,658
03460,2022,729
03460,2023,656
03460,2024,613
03460,2025,640
07235,2018,682
07235,2019,620
07235,2020,590
07235,2021,605
07235,2022,654
07235,2023,579
07235,2024,584
07235,2025,533
03359,2018,1622
03359,2019,1522
03359,2020,1470
03359,2021,1297
