ags,year,pct_no_hauptschulabschluss
13062,2010,13.1
13062,2011,13.1
13071,2012,14.4
13071,2013,10.8
13071,2014,9.6
13071,2015,8.3
13071,2016,10.1
13071,2017,9.8
13071,2018,10
13071,2019,9
13071,2020,6.8
13071,2021,8.6
13071,2022,11.7
13071,2023,10.6
13071,2024,11
13072,2012,12.5
13072,2013,9.6
13072,2014,8.6
13072,2015,7.8
13072,2016,8.8
13072,2017,8.3
13072,2018,6.4
13072,2019,9.5
13072,2020,6.3
13072,2021,6.2
13072,2022,7.5
13072,2023,7.8
13072,2024,7.5
13073,2012,9.8
13073,2013,9.8
13073,2014,7.2
13073,2015,7.6
13073,2016,7.9
13073,2017,6.5
13073,2018,7.5
13073,2019,6.5
13073,2020,4.7
13073,2021,7.8
13073,2022,8.7
13073,2023,8.8
13073,2024,7.9
13074,2012,13.7
13074,2013,10.9
13074,2014,8.3
13074,2015,9.7
13074,2016,9.8
13074,2017,9.8
13074,2018,9.5
13074,2019,8.5
13074,2020,8
13074,2021,7.9
13074,2022,10.5
13074,2023,8.1
13074,2024,9.2
13075,2012,13
13075,2013,12.2
13075,2014,9.6
13075,2015,8
13075,2016,9.4
13075,2017,9.1
13075,2018,9.5
13075,2019,10.1
13075,2020,8
13075,2021,8.4
13075,2022,9.9
13075,2023,11.5
13075,2024,12.2
13076,2012,12.5
13076,2013,10.5
13076,2014,8.9
13076,2015,8.1
13076,2016,7.8
13076,2017,8.3
13076,2018,8.7
13076,2019,8.7
13076,2020,7.9
13076,2021,9.7
13076,2022,12.1
13076,2023,12.4
13076,2024,12
14161,2006,8.2
14161,2007,8.6
14166,2006,9.5
14166,2007,8.3
14167,2006,6.9
14167,2007,8.6
14171,2006,7.6
14171,2007,5.5
14173,2006,7.2
14173,2007,6.6
14177,2006,7.9
14177,2007,7.9
14178,2006,6.8
14178,2007,7.1
14181,2006,7.6
14181,2007,5.3
14182,2006,6.7
14182,2007,6.6
14188,2006,6.1
14188,2007,5
14191,2006,7.7
14191,2007,9.6
14193,2006,7.9
14193,2007,9.6
14262,2006,8.5
14262,2007,8.2
14263,2006,10.9
14263,2007,11.9
14264,2006,13.1
14264,2007,10.1
14272,2006,7.5
14272,2007,7.3
14280,2006,8.3
14280,2007,7.5
14284,2006,8.3
14284,2007,7.5
14285,2006,8.3
14285,2007,8.9
14286,2006,8.7
14286,2007,8.6
14287,2006,10.7
14287,2007,8.9
14290,2006,7.9
14290,2007,8.4
14292,2006,7.7
14292,2007,8
14365,2006,11.7
14365,2007,11.6
14374,2006,9.8
14374,2007,8.5
14375,2006,9.7
14375,2007,12
14379,2006,9.8
14379,2007,9
14383,2006,7.8
14383,2007,7.4
14389,2006,8.2
14389,2007,9.8
14511,2006,8.2
14511,2007,8.6
14511,2008,9.7
14511,2009,9.6
14511,2010,10.5
14511,2011,11.2
14511,2012,12.1
14511,2013,13
14511,2014,11.4
14511,2015,9.7
14511,2016,10.1
14511,2017,13
14511,2018,10.9
14511,2019,11.2
14511,2020,10.7
14511,2021,11.9
14511,2022,14
14511,2023,11.8
14511,2024,11.5
14521,2006,7.3
14521,2007,6.7
14521,2008,6.6
14521,2009,6.1
14521,2010,6.6
14521,2011,8.1
14521,2012,7.3
14521,2013,8.3
14521,2014,6.9
14521,2015,7.5
14521,2016,7.8
14521,2017,6.8
14521,2018,8.4
14521,2019,7.6
14521,2020,7.3
14521,2021,8.2
14521,2022,7.1
14521,2023,7.7
14521,2024,8.7
14522,2006,7.9
14522,2007,8.2
14522,2008,8.5
14522,2009,7.9
14522,2010,9.6
14522,2011,8.8
14522,2012,8.8
14522,2013,10.1
14522,2014,9.8
14522,2015,9.1
14522,2016,9.1
14522,2017,9.6
14522,2018,9.3
14522,2019,9.4
14522,2020,9.1
14522,2021,11.4
14522,2022,9.7
14522,2023,9.9
14522,2024,10.3
14523,2006,7.5
14523,2007,7.4
14523,2008,7.2
14523,2009,8.2
14523,2010,7.8
14523,2011,7.8
14523,2012,6.4
14523,2013,8.9
14523,2014,5.8
14523,2015,6.2
14523,2016,7.5
14523,2017,5.7
14523,2018,8.2
14523,2019,7.6
14523,2020,8.3
14523,2021,7.6
14523,2022,8.1
14523,2023,8.7
14523,2024,10.4
14524,2006,7.3
14524,2007,8.2
14524,2008,8.1
14524,2009,8.2
14524,2010,9.6
14524,2011,9.9
14524,2012,9.7
14524,2013,9.5
14524,2014,9.3
14524,2015,8.2
14524,2016,7.2
14524,2017,7.7
14524,2018,7.6
14524,2019,10.4
14524,2020,7.4
14524,2021,10.2
14524,2022,8.3
14524,2023,10.2
14524,2024,10
14612,2006,8.5
14612,2007,8.2
14612,2008,8
14612,2009,8
14612,2010,8.1
14612,2011,8
14612,2012,8.5
14612,2013,8.6
14612,2014,8.7
14612,2015,7.6
14612,2016,5.9
14612,2017,7.8
14612,2018,8.1
14612,2019,7.5
14612,2020,5.7
14612,2021,5.9
14612,2022,7
14612,2023,8.1
14612,2024,7.4
14625,2006,8.4
14625,2007,8.1
14625,2008,8.4
14625,2009,9.7
14625,2010,9.2
14625,2011,9.2
14625,2012,9.9
14625,2013,9
14625,2014,5.7
14625,2015,7.9
14625,2016,8.2
14625,2017,6.7
14625,2018,7.4
14625,2019,6.8
