ags,year,population
01002,2019,246794
01002,2020,246601
01002,2021,246243
01002,2022,250064
01002,2023,251751
01002,2024,252668
01002,2025,251842
08136,2018,314002
08136,2019,314025
08136,2020,314294
08136,2021,315009
08136,2022,316343
08136,2023,317263
08136,2024,317427
08136,2025,316328
03103,2018,124151
03103,2019,124371
03103,2020,123840
03103,2021,123949
03103,2022,127990
03103,2023,129347
03103,2024,129560
03103,2025,129813
08211,2018,55123
08211,2019,55185
08211,2020,55449
08211,2021,55527
08211,2022,56094
08211,2023,56526
08211,2024,56881
08211,2025,56952
03351,2018,178936
03351,2019,179011
03351,2020,179386
03351,2021,179915
03351,2022,172477
03351,2023,172871
03351,2024,172449
03351,2025,172089
07318,2018,50378
07318,2019,50561
07318,2020,50741
07318,2021,50565
07318,2022,49881
07318,2023,49874
07318,2024,49564
07318,2025,49035
01061,2018,131347
01061,2019,131013
01061,2020,130706
01061,2021,130843
01061,2022,131712
01061,2023,132447
01061,2024,132731
01061,2025,132217
09181,2018,120071
09181,2019,120302
09181,2020,121019
09181,2021,121466
09181,2022,119654
09181,2023,120966
09181,2024,122107
09181,2025,122307
06413,2018,128744
06413,2019,130280
06413,2020,130892
06413,2021,131295
06413,2022,130542
06413,2023,131845
06413,2024,132746
06413,2025,133195
06437,2018,96798
06437,2019,96703
06437,2020,96754
06437,2021,96953
06437,2022,94619
06437,2023,94246
06437,2024,93846
06437,2025,93399
06440,2018,306460
06440,2019,308339
06440,2020,310353
06440,2021,311661
06440,2022,309348
06440,2023,310705
06440,2024,311593
06440,2025,310526
09577,2018,94393
09577,2019,94734
09577,2020,95117
09577,2021,95523
09577,2022,94468
09577,2023,94670
09577,2024,94695
09577,2025,94407
08237,2018,117935
08237,2019,118243
08237,2020,118364
08237,2021,119183
08237,2022,121450
08237,2023,121901
08237,2024,121958
08237,2025,121646
08317,2018,429479
08317,2019,430953
08317,2020,432580
08317,2021,434535
08317,2022,440768
08317,2023,443482
08317,2024,444858
08317,2025,445855
03356,2018,113517
03356,2019,113928
03356,2020,114640
03356,2021,115054
03356,2022,113800
03356,2023,113784
03356,2024,113598
03356,2025,113340
07311,2018,48561
07311,2019,48762
07311,2020,48750
07311,2021,48773
07311,2022,48007
07311,2023,48107
07311,2024,48140
07311,2025,48134
07313,2018,46677
07313,2019,46881
07313,2020,46685
07313,2021,46919
07313,2022,47455
07313,2023,48202
07313,2024,48209
07313,2025,48280
05170,2018,459809
05170,2019,459976
05170,2020,460113
05170,2021,460433
05170,2022,455854
05170,2023,457545
05170,2024,457918
05170,2025,457020
08128,2018,132321
08128,2019,132399
08128,2020,132684
08128,2021,132956
08128,2022,132793
08128,2023,133459
08128,2024,133169
08128,2025,132876
09564,2018,518365
09564,2019,518370
09564,2020,515543
09564,2021,510632
09564,2022,523734
09564,2023,526606
09564,2024,529508
09564,2025,531159
07111,2018,114024
07111,2019,114052
07111,2020,113388
07111,2021,113638
07111,2022,113294
07111,2023,113346
07111,2024,113378
07111,2025,113020
09276,2018,77656
09276,2019,77410
09276,2020,77313
09276,2021,77176
09276,2022,77503
09276,2023,77439
09276,2024,77267
09276,2025,77118
06634,2018,180222
06634,2019,179673
06634,2020,179840
06634,2021,180052
06634,2022,179406
06634,2023,180368
06634,2024,180071
06634,2025,179411
05974,2018,301902
05974,2019,301785
05974,2020,301016
05974,2021,302298
05974,2022,299749
05974,2023,300347
05974,2024,300297
05974,2025,298457
09162,2018,1471508
09162,2019,1484226
09162,2020,1488202
09162,2021,1487708
09162,2022,1490516
09162,2023,1488719
09162,2024,1505005
09162,2025,1505036
05111,2018,619294
05111,2019,621877
05111,2020,620523
05111,2021,619477
05111,2022,614399
05111,2023,616319
05111,2024,618685
05111,2025,619444
03457,2018,169809
03457,2019,170756
03457,2020,171483
03457,2021,172421
03457,2022,169390
03457,2023,169111
03457,2024,169103
03457,2025,169111
09761,2018,295135
09761,2019,296582
09761,2020,295830
09761,2021,296478
09761,2022,296706
09761,2023,298972
09761,2024,301105
09761,2025,301786
08421,2018,126329
08421,2019,126790
08421,2020,126405
08421,2021,126949
08421,2022,127932
08421,2023,128998
08421,2024,129882
08421,2025,130288
09780,2018,155362
09780,2019,156008
09780,2020,156308
09780,2021,157202
09780,2022,152664
09780,2023,153394
09780,2024,155413
09780,2025,155421
09478,2018,66838
09478,2019,66776
09478,2020,66722
09478,2021,66741
09478,2022,67466
09478,2023,67716
09478,2024,67379
09478,2025,67114
07137,2018,214259
07137,2019,214434
07137,2020,214786
07137,2021,215446
07137,2022,216056
07137,2023,216874
07137,2024,217228
07137,2025,216796
04011,2018,569352
04011,2019,567559
04011,2020,566573
04011,2021,563290
04011,2022,576947
04011,2023,584332
04011,2024,586271
04011,2025,588413
03257,2018,157781
03257,2019,157820
03257,2020,158406
03257,2021,158108
03257,2022,156747
03257,2023,157051
03257,2024,156841
03257,2025,156077
09183,2018,115250
09183,2019,115872
09183,2020,116483
09183,2021,117606
09183,2022,120317
09183,2023,121263
09183,2024,122037
09183,2025,122314
07340,2018,95113
07340,2019,94831
07340,2020,94912
07340,2021,94819
07340,2022,90144
07340,2023,90168
07340,2024,89974
07340,2025,89402
09375,2018,193572
09375,2019,194070
09375,2020,194275
09375,2021,195225
09375,2022,191651
09375,2023,193801
09375,2024,196213
09375,2025,196410
09186,2018,127151
09186,2019,128227
09186,2020,129128
09186,2021,129772
09186,2022,128537
09186,2023,129497
09186,2024,130781
09186,2025,131079
09473,2018,86906
09473,2019,86747
09473,2020,86571
09473,2021,86544
09473,2022,84341
09473,2023,84518
09473,2024,84468
09473,2025,83687
05124,2018,354382
05124,2019,355100
05124,2020,355004
05124,2021,354572
05124,2022,358568
05124,2023,358592
05124,2024,358193
05124,2025,357243
