ags,year,divorces
06434,2024,89
09362,2018,49
09362,2019,46
09362,2020,48
09362,2021,44
09362,2022,51
09362,2023,46
09362,2024,43
09572,2018,62
09572,2019,68
09572,2020,67
09572,2021,73
09572,2022,70
09572,2023,64
09572,2024,141
09780,2018,73
09780,2019,72
09780,2020,79
09780,2021,86
09780,2022,70
09780,2023,66
09780,2024,60
07313,2018,19
07313,2019,22
07313,2020,13
07313,2021,15
07313,2022,10
07313,2023,39
07313,2024,19
09464,2018,67
09464,2019,35
09464,2020,21
09464,2021,42
09464,2022,16
09464,2023,18
09464,2024,18
05378,2018,214
05378,2019,214
05378,2020,140
05378,2021,117
05378,2022,225
05378,2023,140
05378,2024,116
05954,2018,317
05954,2019,166
05954,2020,188
05954,2021,156
05954,2022,288
05954,2023,167
05954,2024,156
07131,2018,68
07131,2019,56
07131,2020,144
07131,2021,52
07131,2022,52
07131,2023,52
07131,2024,52
09376,2018,63
09376,2019,59
09376,2020,57
09376,2021,68
09376,2022,118
09376,2023,65
09376,2024,48
05914,2018,180
05914,2019,99
05914,2020,79
05914,2021,81
05914,2022,172
05914,2023,94
05914,2024,104
09179,2018,185
09179,2019,185
09179,2020,88
09179,2021,90
09179,2022,89
09179,2023,79
09179,2024,108
08337,2018,75
08337,2019,129
08337,2020,155
08337,2021,82
08337,2022,69
08337,2023,63
08337,2024,53
03462,2018,72
03462,2019,31
03462,2020,33
03462,2021,35
03462,2022,35
03462,2023,21
03462,2024,28
08128,2018,45
08128,2019,60
08128,2020,54
08128,2021,40
08128,2022,41
08128,2023,50
08128,2024,54
05113,2018,541
05113,2019,288
05113,2020,220
05113,2021,206
05113,2022,235
05113,2023,243
05113,2024,213
06636,2018,72
06636,2019,56
06636,2020,56
06636,2021,36
06636,2022,64
06636,2023,54
06636,2024,48
09473,2018,53
09473,2019,55
09473,2020,49
09473,2021,48
09473,2022,41
09473,2023,51
09473,2024,74
05120,2018,44
05120,2019,53
05120,2020,115
05120,2021,95
05120,2022,88
05120,2023,36
05120,2024,46
09372,2018,41
09372,2019,44
09372,2020,46
09372,2021,82
09372,2022,41
09372,2023,50
09372,2024,47
07134,2018,29
07134,2019,30
07134,2020,47
07134,2021,66
07134,2022,35
07134,2023,45
07134,2024,63
08121,2018,59
08121,2019,36
08121,2020,58
08121,2021,49
08121,2022,66
08121,2023,33
08121,2024,93
09176,2018,67
09176,2019,57
09176,2020,62
09176,2021,96
09176,2022,48
09176,2023,52
09176,2024,82
07334,2018,52
07334,2019,73
07334,2020,57
07334,2021,66
07334,2022,82
07334,2023,60
07334,2024,48
06414,2018,151
06414,2019,135
06414,2020,247
06414,2021,143
06414,2022,112
06414,2023,124
06414,2024,96
03458,2018,54
03458,2019,101
03458,2020,59
03458,2021,93
03458,2022,47
03458,2023,53
03458,2024,80
09172,2018,39
09172,2019,39
09172,2020,37
09172,2021,40
09172,2022,78
09172,2023,36
09172,2024,64
06431,2018,212
06431,2019,147
06431,2020,124
06431,2021,122
06431,2022,154
06431,2023,131
06431,2024,130
03159,2018,272
03159,2019,271
03159,2020,152
03159,2021,160
03159,2022,243
03159,2023,214
03159,2024,248
09764,2018,17
09764,2019,16
09764,2020,17
09764,2021,41
09764,2022,13
09764,2023,19
09764,2024,40
05316,2018,233
05316,2019,225
05316,2020,92
05316,2021,166
05316,2022,183
05316,2023,115
05316,2024,89
01058,2018,131
01058,2019,150
01058,2020,117
01058,2021,100
01058,2022,89
01058,2023,76
01058,2024,102
09677,2018,33
09677,2019,61
09677,2020,105
09677,2021,97
09677,2022,50
09677,2023,109
09677,2024,95
09189,2018,70
09189,2019,65
09189,2020,75
09189,2021,116
09189,2022,80
09189,2023,54
09189,2024,126
05512,2018,116
05512,2019,59
05512,2020,53
05512,2021,43
05512,2022,48
05512,2023,50
05512,2024,56
03355,2018,162
