ags,year,total,german,foreign,male,female
09661,2023/24,3559,3199,360,2097,1462
05154,2023/24,4119,1413,2706,2228,1891
05334,2023/24,57896,41115,16781,38258,19638
07211,2023/24,15494,12969,2525,7050,8444
03241,2023/24,48760,41355,7405,24919,23841
08115,2023/24,0,0,0,0,0
09572,2023/24,0,0,0,0,0
06432,2023/24,3224,2487,737,1707,1517
05562,2023/24,1816,1590,226,904,912
07314,2023/24,4195,3605,590,1809,2386
09478,2023/24,0,0,0,0,0
05512,2023/24,1299,1079,220,1039,260
07319,2023/24,3184,2458,726,1733,1451
01059,2023/24,0,0,0,0,0
09181,2023/24,0,0,0,0,0
09764,2023/24,0,0,0,0,0
08417,2023/24,1463,1278,185,1094,369
07331,2023/24,0,0,0,0,0
09778,2023/24,0,0,0,0,0
06631,2023/24,8695,6982,1713,3658,5037
06535,2023/24,0,0,0,0,0
03402,2023/24,3532,3184,348,1963,1569
05711,2023/24,37656,34722,2934,16366,21290
09190,2023/24,0,0,0,0,0
03354,2023/24,0,0,0,0,0
03255,2023/24,1095,1047,48,509,586
05374,2023/24,3571,2861,710,2797,774
04011,2023/24,34739,28124,6615,16360,18379
01002,2023/24,34791,31596,3198,16620,18171
05770,2023/24,1527,1386,141,1144,383
08119,2023/24,0,0,0,0,0
08335,2023/24,15473,13689,1784,7559,7914
05554,2023/24,1416,1289,127,1036,380
08316,2023/24,0,0,0,0,0
03152,2023/24,0,0,0,0,0
05962,2023/24,2330,2136,194,1761,569
