ags,year,persons
06611,2024,24695
05711,2018,37080
05711,2020,36322
05711,2022,36003
05711,2024,34767
02000,2018,187270
02000,2020,191400
02000,2022,193620
02000,2024,195098
03241001,2018,68733
03241001,2020,68127
03241001,2022,67179
03241001,2024,65576
05515,2018,21610
05515,2020,20701
05515,2022,20628
05515,2024,19871
05162,2018,31343
05162,2020,30914
05162,2022,31381
05162,2024,31575
09278,2018,1853
09278,2020,1765
09278,2022,2091
09278,2024,2214
07131,2018,6094
07131,2020,5556
07131,2022,4943
07131,2024,5157
06432,2018,15823
06432,2020,14777
06432,2022,15923
06432,2024,16241
09376,2018,3520
09376,2020,3440
09376,2022,4463
09376,2024,4709
09474,2018,2931
09474,2020,2863
09474,2022,3448
09474,2024,3615
09181,2018,2495
09181,2020,2265
09181,2022,2625
09181,2024,3022
08236,2018,5454
08236,2020,5451
08236,2022,6351
08236,2024,6889
05558,2018,8942
05558,2020,8038
05558,2022,9206
05558,2024,10703
09572,2018,2389
09572,2020,2530
09572,2022,3227
09572,2024,3031
09363,2018,3126
09363,2020,2810
09363,2022,2708
09363,2024,2872
08237,2018,3777
08237,2020,3662
08237,2022,4116
08237,2024,4556
09461,2018,3643
09461,2020,3573
09461,2022,3657
09461,2024,3453
05158,2018,38184
05158,2020,38445
05158,2022,39491
05158,2024,40722
08116,2018,20854
08116,2020,21658
08116,2022,23181
08116,2024,25210
09462,2018,4057
09462,2020,3888
09462,2022,3824
09462,2024,3718
08336,2018,8775
08336,2020,9565
08336,2022,10979
08336,2024,11981
09475,2018,2914
09475,2020,2849
09475,2022,3142
09475,2024,3474
05334002,2018,24942
05334002,2020,24547
05334002,2022,24387
05334002,2024,22950
06437,2018,5252
06437,2020,5342
06437,2022,5280
06437,2024,5193
07311,2018,3979
07311,2020,3872
07311,2022,3939
07311,2024,3878
07340,2018,2425
07340,2020,2271
07340,2022,2318
07340,2024,2726
09573,2018,2310
09573,2020,2547
09573,2022,3025
09573,2024,2674
06633,2018,11382
06633,2020,10416
06633,2022,11616
06633,2024,11898
06535,2018,4691
06535,2020,4160
06535,2022,4549
06535,2024,4950
08335,2018,11971
08335,2020,12015
08335,2022,13070
08335,2024,13432
09671,2018,5288
09671,2020,5275
09671,2022,6115
09671,2024,6102
03404,2018,16833
03404,2020,15537
03404,2022,15405
03404,2024,15000
01060,2018,15134
01060,2020,14338
01060,2022,14651
01060,2024,16076
08216,2018,8061
08216,2020,8063
08216,2022,9716
08216,2024,9957
09180,2018,2684
09180,2020,2452
09180,2022,2441
09180,2024,2569
08118,2018,18920
08118,2020,18515
08118,2022,21562
08118,2024,22868
09279,2018,1974
09279,2020,2008
09279,2022,1981
09279,2024,2440
03154,2018,6799
03154,2020,6326
03154,2022,6476
03154,2024,6523
09377,2018,1947
09377,2020,1577
09377,2022,2107
09377,2024,2142
03252,2018,13747
03252,2020,12713
03252,2022,13454
03252,2024,13055
07338,2018,5238
07338,2020,5570
07338,2022,6070
07338,2024,6218
06440,2018,16102
06440,2020,15330
06440,2022,15867
06440,2024,15972
07135,2018,2292
07135,2020,2150
07135,2022,2623
07135,2024,2428
07233,2018,2354
07233,2020,1911
07233,2022,2112
07233,2024,2102
09661,2018,5291
09661,2020,5096
09661,2022,5332
09661,2024,5521
09185,2018,1908
09185,2020,1839
09185,2022,2450
09185,2024,2973
09576,2018,2350
09576,2020,1961
09576,2022,2364
09576,2024,2375
09478,2018,2024
09478,2020,1818
09478,2022,1996
09478,2024,2095
07331,2018,5907
07331,2020,5894
07331,2022,5876
07331,2024,5885
07316,2018,3878
07316,2020,3910
07316,2022,3953
07316,2024,3986
09674,2018,1962
09674,2020,1842
09674,2022,1928
09674,2024,2155
09563,2018,8979
09563,2020,8230
09563,2022,8401
09563,2024,8625
09772,2018,5975
09772,2020,6221
09772,2022,7298
09772,2024,7693
01051,2018,11691
01051,2020,10453
01051,2022,9842
01051,2024,10069
03403,2018,17741
03403,2020,17062
03403,2022,16300
03403,2024,15292
03461,2018,7062
03461,2020,6482
03461,2022,6663
03461,2024,6206
09162,2018,71938
09162,2020,77296
09162,2022,75256
09162,2024,74704
05111,2018,59720
05111,2020,58600
05111,2022,56930
05111,2024,52026
05916,2018,23766
05916,2020,23453
05916,2022,23270
05916,2024,23280
03256,2018,9330
03256,2020,8905
03256,2022,9629
03256,2024,9547
09184,2018,7708
09184,2020,7517
09184,2022,10335
09184,2024,10204
07211,2018,7340
07211,2020,8306
07211,2022,8314
07211,2024,9158
03354,2018,3679
03354,2020,3509
03354,2022,3455
03354,2024,3054
03158,2018,7284
03158,2020,6807
03158,2022,7645
03158,2024,7286
08215,2018,13610
08215,2020,13685
08215,2022,15996
08215,2024,17141
07141,2018,5598
07141,2020,5302
07141,2022,5655
07141,2024,5844
06636,2018,6801
06636,2020,6143
06636,2022,6066
06636,2024,5913
03452,2018,14260
03452,2020,13770
03452,2022,13053
03452,2024,12380
07334,2018,6147
07334,2020,5879
07334,2022,5800
07334,2024,6242
09763,2018,2750
09763,2020,2680
09763,2022,2707
09763,2024,2346
08117,2018,12004
08117,2020,12085
08117,2022,12845
08117,2024,13531
07335,2018,5505
07335,2020,5145
07335,2022,5099
07335,2024,4980
09678,2018,2442
09678,2020,2299
09678,2022,2429
09678,2024,2383
09171,2018,3567
09171,2020,3342
09171,2022,3636
09171,2024,3820
09776,2018,1914
09776,2020,1958
09776,2022,2159
09776,2024,2145
07312,2018,11486
07312,2020,10828
07312,2022,9576
07312,2024,9362
07138,2018,11104
07138,2020,10527
07138,2022,10864
07138,2024,10906
05124,2018,50463
05124,2020,49915
05124,2022,48990
05124,2024,46613
01055,2018,11964
01055,2020,10493
01055,2022,10026
01055,2024,9780
03241,2018,118978
03241,2020,116833
03241,2022,115906
03241,2024,112380
05966,2018,5499
05966,2020,5085
05966,2022,5760
05966,2024,6029
08316,2018,5765
08316,2020,5213
08316,2022,5773
08316,2024,5791
08436,2018,8541
08436,2020,8591
08436,2022,9710
08436,2024,9969
09174,2018,2430
09174,2020,2554
09174,2022,3172
09174,2024,3774
09272,2018,1228
09272,2020,1185
09272,2022,1677
09272,2024,1917
03254,2018,21212
03254,2020,20272
03254,2022,21230
03254,2024,21048
03352,2018,12894
03352,2020,11820
03352,2022,11749
03352,2024,11751
09761,2018,16910
09761,2020,17595
09761,2022,18227
09761,2024,18808
03361,2018,7849
03361,2020,6918
03361,2022,6916
03361,2024,6805
03453,2018,9084
03453,2020,8223
03453,2022,8768
03453,2024,8581
08417,2018,5634
08417,2020,5553
08417,2022,6681
08417,2024,7349
04011,2018,81318
04011,2020,81548
04011,2022,78870
